workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
Barrena,seeguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,theguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,launchguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,getguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,streamguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,goguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,joinguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,useguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,tryguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,meetguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,fixguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,discoverguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Barrena,exploreguardare.com,unassigned,3,3,0,0,0,3,0,2026-04-14,,True
Charm,usehirecharm.com,burned,52,52,0,0,0,52,0,2026-03-21,,True
Charm,eudalie-bio.com,live,3,3,0,0,0,0,3,2026-03-20,,True
Charm,urosaf-bio.com,live,3,3,0,0,0,0,3,2026-03-21,,True
Charm,stylepad24.com,live,3,3,0,0,0,0,3,2026-04-29,,True
Charm,globaloutreachclub.com,live,3,3,0,0,0,0,3,2026-03-20,,True
Charm,inspi-cure-eu.com,live,2,2,0,0,0,0,2,2026-03-31,,True
Charm,lovecharmgtm.com,live,52,51,1,1,0,50,1,2026-03-21,2026-04-30,False
Charm,usecharmgtm.com,live,52,51,1,1,0,51,0,2026-03-21,2026-04-30,False
Charm,illuminatecharm.com,unassigned,51,0,51,50,1,0,0,,2026-04-30,False
Charm,rechargecharm.com,unassigned,50,0,50,50,0,0,0,,2026-04-30,False
Charm,indulgecharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,createcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,pushcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,brightencharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,restorecharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,refreshcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,unlockcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,awakencharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,alldealsgroup.com,live,3,0,3,0,3,0,0,,2026-04-30,False
Charm,charmclay.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Charm,enhancecharm.com,unassigned,51,0,51,50,1,0,0,,2026-04-30,False
Charm,usecharmrevops.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Charm,fuelcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,focuscharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,strengthencharm.com,unassigned,52,0,52,52,0,0,0,,2026-04-30,False
Charm,healcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,launchcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,goglowcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,revopswithcharm.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Charm,savorcharm.com,unassigned,3,0,3,3,0,0,0,,2026-04-30,False
Charm,mydealslift.com,live,3,0,3,3,0,0,0,,2026-04-30,False
